3d-cube.js ,55085.89 ,32738.91 ,23614.45 ,4410 ,4061 ,-40.57 ,7.0
3d-morph.js ,12123.1 ,19768.03 ,11421.57 ,327 ,266 ,63.06 ,18.0
access-binary-trees.js ,12019.94 ,8499.58 ,1045.65 ,496 ,366 ,-29.29 ,26.0
access-fannkuch.js ,80270.61 ,8974.09 ,772.97 ,497 ,216 ,-88.82 ,56.0
access-nbody.js ,61304.9 ,9219.33 ,859.99 ,1500 ,600 ,-84.96 ,60.0
access-nsieve.js ,20523.15 ,24696.11 ,16649.47 ,320 ,207 ,20.33 ,35.0
bitops-3bit-bits-in-byte.js ,21980.05 ,26712.22 ,18835.02 ,230 ,172 ,21.53 ,25.0
bitops-bits-in-byte.js ,28037.38 ,39568.59 ,31851.66 ,195 ,140 ,41.13 ,28.0
bitops-bitwise-and.js ,21279.26 ,22725.11 ,15509.08 ,76 ,59 ,6.79 ,22.0
bitops-nsieve-bits.js ,776.61 ,8149.66 ,756.48 ,185 ,123 ,949.39 ,33.0
controlflow-recursive.js ,14748.23 ,19153.29 ,11632.33 ,366 ,361 ,29.87 ,1.0
crypto-aes.js ,1722.27 ,3980.46 ,965.97 ,5139 ,2 ,131.12 ,99.0
crypto-md5.js ,508443.58 ,3890.86 ,971.88 ,3928 ,2 ,-99.23 ,99.0
crypto-sha1.js ,236071.32 ,3887.7 ,846.14 ,1925 ,2 ,-98.35 ,99.0
date-format-tofte.js ,1474.7 ,9185.29 ,768.17 ,3194 ,147 ,522.86 ,95.0
date-format-xparb.js ,1647.91 ,10120.47 ,1248.5 ,3816 ,2567 ,514.14 ,32.0
function-closure.js ,16210.41 ,13243.69 ,5577.83 ,65 ,30 ,-18.3 ,53.0
function-correct-args.js ,237661.22 ,54415.63 ,46876.64 ,120 ,30 ,-77.1 ,75.0
function-empty.js ,120306.93 ,79943.46 ,72129.88 ,50 ,30 ,-33.55 ,40.0
function-excess-args.js ,222757.92 ,57635.16 ,50225.28 ,105 ,30 ,-74.13 ,71.0
function-missing-args.js ,214701.24 ,57495.8 ,49689.45 ,80 ,30 ,-73.22 ,62.0
function-sum.js ,166776.95 ,54090.77 ,45772.69 ,79 ,30 ,-67.57 ,62.0
loop-empty-resolve.js ,23704.95 ,27907.74 ,20388.26 ,30 ,28 ,17.73 ,6.0
loop-empty.js ,181483.82 ,186881.4 ,179488.43 ,32 ,30 ,2.97 ,6.0
loop-sum.js ,195568.59 ,117787.54 ,109905.97 ,50 ,30 ,-39.77 ,40.0
math-cordic.js ,52788.26 ,56985.59 ,49060.66 ,519 ,288 ,7.95 ,44.0
math-partial-sums.js ,17295.04 ,24233.68 ,15903.65 ,382 ,307 ,40.12 ,19.0
math-spectral-norm.js ,18494.79 ,20679.85 ,12575.09 ,516 ,475 ,11.81 ,7.0
regexp-dna.js ,1711.73 ,4251.51 ,952.32 ,3 ,2 ,148.38 ,33.0
string-fasta.js ,474102.57 ,9485.23 ,690.46 ,732 ,272 ,-98.0 ,62.0
string-tagcloud.js ,1192.06 ,9699.06 ,1231.84 ,3 ,3 ,713.64 ,0
string-unpack-code.js ,1623.99 ,9309.7 ,1402.61 ,8 ,8 ,473.26 ,0
